Attack,Model_1,Model_2,P_Value,Significant,Effect_Size
FGSM,Standard,Adversarial-Training,0.0461,True,0.0626
FGSM,Standard,Defensive-Distillation,0.0774,False,0.0571
FGSM,Adversarial-Training,Defensive-Distillation,0.0002,True,0.1197
BIM,Standard,Adversarial-Training,0.0,True,0.0745
BIM,Standard,Defensive-Distillation,0.0,True,0.0652
BIM,Adversarial-Training,Defensive-Distillation,0.0,True,0.1398
PGD,Standard,Adversarial-Training,0.0,True,0.1045
PGD,Standard,Defensive-Distillation,0.0,True,0.0648
PGD,Adversarial-Training,Defensive-Distillation,0.0,True,0.1693
Channel-Aware,Standard,Adversarial-Training,0.0,True,0.0754
Channel-Aware,Standard,Defensive-Distillation,0.0,True,0.0644
Channel-Aware,Adversarial-Training,Defensive-Distillation,0.0,True,0.1398
Pilot-Contamination,Standard,Adversarial-Training,0.0,True,0.2169
Pilot-Contamination,Standard,Defensive-Distillation,0.0,True,0.1349
Pilot-Contamination,Adversarial-Training,Defensive-Distillation,0.0,True,0.3518
Undermining,Standard,Adversarial-Training,0.0,True,0.1207
Undermining,Standard,Defensive-Distillation,0.0082,True,0.0449
Undermining,Adversarial-Training,Defensive-Distillation,0.0,True,0.1656
